, sugar, ginger, garam masala, ghee, curry leaves, jaggery, urad dal,Rice flour, milk, tomato, garam masala powder, mustard oil,Chana dal, sesame seeds, saffron, turmeric, coconut,Whole wheat flour, clarified butter, cardamom, gram flour, mustard seeds, lemon juice, garlic, potato,Urad dal, baking soda,Rice, salt,Wheat flour,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,list of ingred,clust
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",1,1,30,0,1,Gujarat,6,"['Condensed milk', ' nestle cream', ' coconut ice', ' red food coloring', ' desiccated coconut']",4
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",1,1,30,3,1,Gujarat,6,"['Whole wheat flour', ' dal', ' kokum', ' gur', ' bengal gram flour']",2
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",1,2,10,3,2,Gujarat,6,"['Pav', ' aloo', ' peanut', ' pomegranate', ' star anise']",2
179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",1,2,30,0,2,Maharashtra,6,"['Urad dal', ' bhuna chana', ' garam masala', ' dates', ' tamarind']",6
180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",1,0,20,0,1,Maharashtra,6,"['Arhar dal', ' coconut oil', ' curry leaves', ' mustard seeds', ' red chilli']",4
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dhokla,"Rava, coconut, gram flour, mustard, sesame",1,0,20,3,2,Gujarat,6,"['Rava', ' coconut', ' gram flour', ' mustard', ' sesame']",13
182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",1,1,30,4,0,Gujarat,6,"['Bottle gourd', ' green', ' raisins', ' sugar', ' clarified butter']",8
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",1,0,20,3,1,Rajasthan,6,"['Yogurt', ' besan', ' sauce', ' garam masala powder', ' gram flour']",13
184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",1,0,20,4,0,Gujarat,6,"['Wheat flour', ' jaggery', ' clarified butter', ' sliced almonds']",11
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ghooghra,"Dry fruits, semolina, all purpose flour",1,0,0,3,2,Gujarat,6,"['Dry fruits', ' semolina', ' all purpose flour']",13
